KEGG,Metabolite name,PubChem,ChEBI,METLIN,SMILES,Exact match
C00016,FAD,643975,16238,6106.0,CC1=CC2=C(C=C1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC3=C1N=CN=C3N)C1=NC(=O)NC(=O)C1=N2,True
C00017,Protein,3319,16541,None,None,True
C00018,Pyridoxal 5'-phosphate,1051,18405,6275.0,CC1=NC=C(COP(O)(O)=O)C(C=O)=C1O,True
C00019,S-Adenosylmethionine,34756,15414,6064.0,C[S+](CC[C@H](N)C(O)=O)C[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=CN=C2N,True
C00020,Adenosine monophosphate,6083,16027,5111.0,NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1,True
C00021,S-Adenosylhomocysteine,439155,16680,296.0,N[C@@H](CCSC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=CN=C2N)C(O)=O,True
C00022,Pyruvic acid,1060,32816,117.0,CC(=O)C(O)=O,True
C00024,Acetyl-CoA,444493,15351,6082.0,CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N,True
C00025,Glutamic acid,33032,16015,5174.0,N[C@@H](CCC(O)=O)C(O)=O,True
C00026,Oxoglutaric acid,51,30915,5218.0,OC(=O)CCC(=O)C(O)=O,True
C00027,Hydrogen peroxide,784,16240,None,OO,True
C00028,None,None,None,None,None,False
