sid	smiles	kingdom	superklass	klass	subklass	direct_parent	geometric_descriptor	alternative parents	substituents
	[Co++].[H]C1(CCC(O)=O)\C2=C\C3=N\C(=C(C)\C4=NC([H])(C([H])(CC(O)=O)C4(C)CCC(O)=O)C4(C)N\C(=C(C)/C(=N2)C1(C)CC([NH-])=O)C([H])(CCC(O)=O)C4(C)CC(O)=N)\C([H])(CCC(O)=O)C3(C)C	Organic compounds	Organoheterocyclic compounds	Tetrapyrroles and derivatives	Metallotetrapyrroles	Metallotetrapyrroles	Aliphatic heteropolycyclic compounds	Amino acids;Azacyclic compounds;Carbene-type 1,3-dipolar compounds;Carbonyl compounds;Carboximidic acids;Carboxylic acids;Delta amino acids and derivatives;Dialkylamines;Hydrocarbon derivatives;Ketimines;Organic cations;Organic cobalt salts;Organic oxides;Organic salts;Organopnictogen compounds;Pentacarboxylic acids and derivatives;Pyrrolidines;Pyrrolines	Ketimine;Carboximidic acid;Carbonyl group;Carboxylic acid;Organic cobalt salt;Amino acid or derivatives;Amino acid;Imine;Carboxylic acid derivative;Aliphatic heteropolycyclic compound;Organic oxide;Organonitrogen compound;Organopnictogen compound;Delta amino acid or derivatives;Organic cation;Organic salt;Metallotetrapyrrole skeleton;Pyrrolidine;Secondary aliphatic amine;Azacycle;Secondary amine;Pentacarboxylic acid or derivatives;Organic transition metal salt;Pyrroline;Organic oxygen compound;Hydrocarbon derivative;Carbene-type 1,3-dipolar compound;Organic nitrogen compound;Organooxygen compound;Amine
	N[C@@H](C[C@@H](O)C(O)=O)C(O)=O	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Glutamic acid and derivatives	Aliphatic acyclic compounds	Alpha amino acids;Alpha hydroxy acids and derivatives;Carbonyl compounds;Carboxylic acids;Dicarboxylic acids and derivatives;Hydrocarbon derivatives;Hydroxy fatty acids;Monoalkylamines;Organic oxides;Organonitrogen compounds;Organopnictogen compounds;Secondary alcohols;Short-chain hydroxy acids and derivatives	Fatty acyl;Aliphatic acyclic compound;Carbonyl group;Carboxylic acid;Short-chain hydroxy acid;Alpha-hydroxy acid;Fatty acid;Organic oxide;Organonitrogen compound;Alpha-amino acid;Organopnictogen compound;Hydroxy fatty acid;Alcohol;Glutamic acid or derivatives;Hydroxy acid;Organic oxygen compound;Secondary alcohol;Dicarboxylic acid or derivatives;Hydrocarbon derivative;Primary aliphatic amine;Organic nitrogen compound;Organooxygen compound
	OC\C=C\Cl	Organic compounds	Organohalogen compounds	Vinyl halides	Vinyl chlorides	Vinyl chlorides	Aliphatic acyclic compounds	Chloroalkenes;Hydrocarbon derivatives;Organochlorides;Primary alcohols	Alcohol;Aliphatic acyclic compound;Chloroalkene;Organochloride;Organic oxygen compound;Haloalkene;Hydrocarbon derivative;Vinyl chloride;Primary alcohol;Organooxygen compound
	CN1CC(=O)NC1=O	Organic compounds	Organoheterocyclic compounds	Azolidines	Imidazolidines	Hydantoins	Aliphatic heteromonocyclic compounds	Alpha amino acids;Azacyclic compounds;Carbonyl compounds;Carboxylic acids and derivatives;Dicarboximides;Hydrocarbon derivatives;Imidazolidinones;Organic carbonic acids and derivatives;Organic oxides;Organonitrogen compounds;Organopnictogen compounds	Carbonyl group;Carbonic acid derivative;Azacycle;Alpha-amino acid or derivatives;Carboxylic acid derivative;Organic oxide;Organic oxygen compound;Hydantoin;Aliphatic heteromonocyclic compound;Organonitrogen compound;Alpha-amino acid;Organopnictogen compound;Hydrocarbon derivative;Dicarboximide;Organic nitrogen compound;Organooxygen compound
	O[Se](O)(=O)=O	Organic compounds	Organic oxygen compounds	Organic oxoanionic compounds	Organic selenates	Organic selenates	Acyclic compounds	Organic oxides	Organic oxide;Acyclic compound;Organic selenate
	O[C@H]1[C@H](O)[C@@H](COP(O)(O)=O)O[C@H](OP(O)(O)=O)[C@H]1O	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Hexose phosphates	Aliphatic heteromonocyclic compounds	Hydrocarbon derivatives;Monoalkyl phosphates;Monosaccharides;Organic oxides;Oxacyclic compounds;Oxanes;Secondary alcohols	Alcohol;Oxacycle;Organic oxide;Phosphoric acid ester;Monoalkyl phosphate;Aliphatic heteromonocyclic compound;Secondary alcohol;Hexose Phosphate;Hydrocarbon derivative;Oxane;Organic phosphoric acid derivative;Alkyl phosphate;Organoheterocyclic compound
	C[C@H](C(=O)C(O)=O)C1=CC=CC=C1	Organic compounds	Benzenoids	Benzene and substituted derivatives	Phenylpyruvic acid derivatives	Phenylpyruvic acid derivatives	Aromatic homomonocyclic compounds	Alpha-hydroxy ketones;Alpha-keto acids and derivatives;Carboxylic acids;Hydrocarbon derivatives;Monocarboxylic acids and derivatives;Organic oxides;Phenylpropanoic acids	Carbonyl group;Carboxylic acid;Phenylpyruvate;3-Phenylpropanoic-acid;Alpha-hydroxy ketone;Carboxylic acid derivative;Ketone;Aromatic homomonocyclic compound;Organic oxide;Monocarboxylic acid or derivatives;Organic oxygen compound;Keto acid;Alpha-keto acid;Hydrocarbon derivative;Organooxygen compound
	[H][C@](C)(O)[C@]([H])(N=C(O)OP(O)(=O)OC[C@@]1([H])O[C@@]([H])(N2C=NC3=C(N)N=CN=C23)[C@]([H])(O)[C@]1([H])O)C(O)=O	Organic compounds	Nucleosides, nucleotides, and analogues	Purine nucleotides	Purine ribonucleotides	Purine ribonucleoside monophosphates	Aromatic heteropolycyclic compounds	Alpha amino acids;Amino acids;Azacyclic compounds;Beta hydroxy acids and derivatives;Carbonyl compounds;Carboxylic acids;Heteroaromatic compounds;Hydrocarbon derivatives;Imidazoles;Imidolactams;Monoalkyl phosphates;Monocarboxylic acids and derivatives;Monosaccharides;N-substituted imidazoles;Organic oxides;Organopnictogen compounds;Oxacyclic compounds;Pentose phosphates;Primary amines;Propargyl-type 1,3-dipolar organic compounds;Purines and purine derivatives;Pyrimidines and pyrimidine derivatives;Secondary alcohols;Tetrahydrofurans	Carbonyl group;Carboxylic acid;Pentose phosphate;Amino acid or derivatives;Amino acid;Purine ribonucleoside monophosphate;Monosaccharide;Pentose-5-phosphate;Alpha-amino acid or derivatives;Imidazopyrimidine;Carboxylic acid derivative;Pyrimidine;Propargyl-type 1,3-dipolar organic compound;Beta-hydroxy acid;Saccharide;Organic oxide;Aromatic heteropolycyclic compound;Imidazole;Organonitrogen compound;Alpha-amino acid;Organopnictogen compound;Imidolactam;Organoheterocyclic compound;Azole;N-substituted imidazole;Alcohol;Azacycle;Tetrahydrofuran;Heteroaromatic compound;Organic 1,3-dipolar compound;Hydroxy acid;Oxacycle;Monocarboxylic acid or derivatives;Organic oxygen compound;Phosphoric acid ester;Monoalkyl phosphate;Secondary alcohol;Hydrocarbon derivative;Purine;Primary amine;Organic nitrogen compound;Organic phosphoric acid derivative;Amine;Alkyl phosphate;Organooxygen compound
	[Co++].[H]C1([CH2])OC([H])(N2C=NC3=C(N)N=CN=C23)C([H])(O)C1([H])O.[H]C1(CCC([NH-])=O)\C2=C\C3=N\C(=C(C)\C4=NC([H])(C([H])(CC(O)=N)C4(C)CCC(O)=O)C4(C)N\C(=C(C)/C(=N2)C1(C)CC(O)=N)C([H])(CCC(O)=N)C4(C)CC(O)=N)\C([H])(CCC(O)=N)C3(C)C	Organic compounds	Organoheterocyclic compounds	Tetrapyrroles and derivatives	Metallotetrapyrroles	Metallotetrapyrroles	Aromatic heteropolycyclic compounds	1,2-diols;5'-deoxyribonucleosides;Amino acids;Azacyclic compounds;Carbene-type 1,3-dipolar compounds;Carbonyl compounds;Carboximidic acids;Carboxylic acids;Dialkylamines;Heteroaromatic compounds;Hydrocarbon derivatives;Imidazoles;Imidolactams;Ketimines;Monocarboxylic acids and derivatives;Monosaccharides;N-substituted imidazoles;Organic cations;Organic cobalt salts;Organic oxides;Organic salts;Organopnictogen compounds;Oxacyclic compounds;Primary amines;Purines and purine derivatives;Pyrimidines and pyrimidine derivatives;Pyrrolidines;Pyrrolines;Secondary alcohols;Tetrahydrofurans	Carboximidic acid;Carboxylic acid;Amino acid or derivatives;Monosaccharide;Imidazopyrimidine;Saccharide;Organonitrogen compound;Organic salt;1,2-diol;Alcohol;Secondary aliphatic amine;Azacycle;Heteroaromatic compound;Organic transition metal salt;Hydrocarbon derivative;Carbene-type 1,3-dipolar compound;Primary amine;Amine;Ketimine;Carbonyl group;Organic cobalt salt;Amino acid;Imine;Carboxylic acid derivative;Pyrimidine;Organic oxide;Aromatic heteropolycyclic compound;Imidazole;Organopnictogen compound;Organic cation;Metallotetrapyrrole skeleton;Pyrrolidine;Imidolactam;Azole;N-substituted imidazole;5'-deoxyribonucleoside;Tetrahydrofuran;Secondary amine;Oxacycle;Monocarboxylic acid or derivatives;Pyrroline;Organic oxygen compound;Secondary alcohol;Purine;Organic nitrogen compound;Organooxygen compound
	[H]P(O)(=O)CC[C@H](N)C(O)=O	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Alpha amino acids	Aliphatic acyclic compounds	Carbonyl compounds;Carboxylic acids;Fatty acids and conjugates;Hydrocarbon derivatives;Monoalkylamines;Monocarboxylic acids and derivatives;Organic oxides;Organic phosphonic acids and derivatives;Organonitrogen compounds;Organophosphorus compounds;Organopnictogen compounds	Aliphatic acyclic compound;Carbonyl group;Carboxylic acid;Fatty acid;Organic oxide;Monocarboxylic acid or derivatives;Organic oxygen compound;Organonitrogen compound;Alpha-amino acid;Organopnictogen compound;Organophosphorus compound;Hydrocarbon derivative;Primary aliphatic amine;Organic nitrogen compound;Organophosphonic acid derivative;Organooxygen compound
	CN(CC(O)=O)C(O)=N	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Alpha amino acids	Aliphatic acyclic compounds	Carbonyl compounds;Carboxylic acids;Hydrocarbon derivatives;Monocarboxylic acids and derivatives;Organic carbonic acids and derivatives;Organic oxides;Organonitrogen compounds;Organopnictogen compounds	Aliphatic acyclic compound;Carbonyl group;Carbonic acid derivative;Carboxylic acid;Organic oxide;Monocarboxylic acid or derivatives;Organic oxygen compound;Organonitrogen compound;Alpha-amino acid;Organopnictogen compound;Hydrocarbon derivative;Organic nitrogen compound;Organooxygen compound
	OC(=O)C1=CN=C(O)C=C1	Organic compounds	Organoheterocyclic compounds	Pyridines and derivatives	Pyridinecarboxylic acids and derivatives	Pyridine-3-carboxylic acids	Aromatic heteromonocyclic compounds	2-halopyridines;Azacyclic compounds;Carboxylic acids;Heteroaromatic compounds;Hydrocarbon derivatives;Hydroxypyridines;Monocarboxylic acids and derivatives;Organic oxides;Organonitrogen compounds;Organooxygen compounds;Organopnictogen compounds;Polyhalopyridines	Carboxylic acid;Aromatic heteromonocyclic compound;Azacycle;Pyridine-3-carboxylic acid;Polyhalopyridine;Heteroaromatic compound;Hydroxypyridine;Carboxylic acid derivative;Organic oxide;Monocarboxylic acid or derivatives;Organic oxygen compound;Organonitrogen compound;Organopnictogen compound;Hydrocarbon derivative;2-halopyridine;Organic nitrogen compound;Organooxygen compound
	OC[C@@H](O)[C@H]1O[C@H](OP(O)(O)=O)[C@@H](O)[C@@H](O)[C@@H]1O	Organic compounds	Organic acids and derivatives	Organic phosphoric acids and derivatives	Phosphate esters	Monoalkyl phosphates	Aliphatic heteromonocyclic compounds	Hydrocarbon derivatives;Monosaccharides;Organic oxides;Oxacyclic compounds;Oxanes;Primary alcohols;Secondary alcohols	Alcohol;Monosaccharide;Oxacycle;Saccharide;Organic oxide;Organic oxygen compound;Monoalkyl phosphate;Aliphatic heteromonocyclic compound;Secondary alcohol;Hydrocarbon derivative;Oxane;Primary alcohol;Organoheterocyclic compound;Organooxygen compound
	OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)C(O)=O	Organic compounds	Organic acids and derivatives	Hydroxy acids and derivatives	Medium-chain hydroxy acids and derivatives	Medium-chain hydroxy acids and derivatives	Aliphatic acyclic compounds	Alpha hydroxy acids and derivatives;Beta hydroxy acids and derivatives;Carbonyl compounds;Carboxylic acids;Hydrocarbon derivatives;Hydroxy fatty acids;Medium-chain fatty acids;Monocarboxylic acids and derivatives;Monosaccharides;Organic oxides;Primary alcohols;Secondary alcohols	Alcohol;Fatty acyl;Aliphatic acyclic compound;Carbonyl group;Carboxylic acid;Alpha-hydroxy acid;Monosaccharide;Fatty acid;Carboxylic acid derivative;Medium-chain hydroxy acid;Beta-hydroxy acid;Saccharide;Organic oxide;Monocarboxylic acid or derivatives;Organic oxygen compound;Secondary alcohol;Hydrocarbon derivative;Medium-chain fatty acid;Hydroxy fatty acid;Primary alcohol;Organooxygen compound
	CC(C)=CCC\C(C)=C\CC1=C(O)C=CC=C1	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Monoterpenoids	Aromatic monoterpenoids	Aromatic homomonocyclic compounds	1-hydroxy-2-unsubstituted benzenoids;1-hydroxy-4-unsubstituted benzenoids;Benzene and substituted derivatives;Hydrocarbon derivatives;Monocyclic monoterpenoids;Organooxygen compounds	Monocyclic benzene moiety;Monocyclic Monoterpenoid;1-hydroxy-2-unsubstituted benzenoid;1-hydroxy-4-unsubstituted benzenoid;Aromatic homomonocyclic compound;Organic oxygen compound;Phenol;Hydrocarbon derivative;Benzenoid;Organooxygen compound;Aromatic monoterpenoid
	OCC(=O)C(O)C(O)C(O)C([O-])=O	Organic compounds	Organic acids and derivatives	Hydroxy acids and derivatives	Medium-chain hydroxy acids and derivatives	Medium-chain hydroxy acids and derivatives	Aliphatic acyclic compounds	Acyloins;Alpha-hydroxy ketones;Beta hydroxy acids and derivatives;Beta-hydroxy ketones;Carboxylic acids;Hydrocarbon derivatives;Hydroxy fatty acids;Medium-chain fatty acids;Monocarboxylic acids and derivatives;Monosaccharides;Organic anions;Organic oxides;Secondary alcohols	Fatty acyl;Beta-hydroxy ketone;Aliphatic acyclic compound;Carbonyl group;Carboxylic acid;Monosaccharide;Fatty acid;Alpha-hydroxy ketone;Carboxylic acid derivative;Medium-chain hydroxy acid;Ketone;Beta-hydroxy acid;Saccharide;Organic oxide;Medium-chain fatty acid;Hydroxy fatty acid;Alcohol;Monocarboxylic acid or derivatives;Organic anion;Organic oxygen compound;Acyloin;Secondary alcohol;Hydrocarbon derivative;Organooxygen compound
	CC(C)=CCC\C(C)=C\CC1=C(O)C2=CC=CC=C2C(O)=C1	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Quinone and hydroquinone lipids	Prenylated hydroquinones	Aromatic homopolycyclic compounds	1-hydroxy-2-unsubstituted benzenoids;Aromatic monoterpenoids;Bicyclic monoterpenoids;Hydrocarbon derivatives;Hydroquinones;Naphthols and derivatives;Organooxygen compounds	Prenylbenzoquinol;Monoterpenoid;1-hydroxy-2-unsubstituted benzenoid;Aromatic homopolycyclic compound;Hydroquinone;Naphthalene;Organic oxygen compound;Hydrocarbon derivative;Bicyclic monoterpenoid;1-naphthol;Benzenoid;Organooxygen compound;Aromatic monoterpenoid
	CC1=N[C@H](S\C1=C/COP(O)(O)=O)C(O)=O	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Alpha amino acids	Aliphatic heteromonocyclic compounds	Azacyclic compounds;Carbonyl compounds;Carboxylic acids;Hydrocarbon derivatives;Ketimines;Monoalkyl phosphates;Monocarboxylic acids and derivatives;Organic oxides;Organopnictogen compounds;Propargyl-type 1,3-dipolar organic compounds;Thiazolecarboxylic acids and derivatives;Thiazolines;Thioenol ethers	Ketimine;Carbonyl group;Carboxylic acid;Meta-thiazoline;Imine;Thiazolecarboxylic acid or derivatives;Propargyl-type 1,3-dipolar organic compound;Organic oxide;Aliphatic heteromonocyclic compound;Organonitrogen compound;Alpha-amino acid;Organopnictogen compound;Organoheterocyclic compound;Azacycle;Organic 1,3-dipolar compound;Monocarboxylic acid or derivatives;Thioenolether;Organic oxygen compound;Phosphoric acid ester;Monoalkyl phosphate;Hydrocarbon derivative;Organic nitrogen compound;Thiazole;Organic phosphoric acid derivative;Alkyl phosphate;Organooxygen compound
	OC[C@H]1O[C@H](C[C@@H]1O)N1C=NC2=C1N=CN=C2	Organic compounds	Nucleosides, nucleotides, and analogues	Purine nucleosides	Purine 2'-deoxyribonucleosides	Purine 2'-deoxyribonucleosides	Aromatic heteropolycyclic compounds	Azacyclic compounds;Heteroaromatic compounds;Hydrocarbon derivatives;Imidazoles;Monosaccharides;N-substituted imidazoles;Organonitrogen compounds;Organopnictogen compounds;Oxacyclic compounds;Primary alcohols;Purines and purine derivatives;Pyrimidines and pyrimidine derivatives;Secondary alcohols;Tetrahydrofurans	Monosaccharide;Imidazopyrimidine;Pyrimidine;Saccharide;Aromatic heteropolycyclic compound;Imidazole;Organonitrogen compound;Organopnictogen compound;Primary alcohol;Purine 2'-deoxyribonucleoside;Organoheterocyclic compound;Azole;N-substituted imidazole;Alcohol;Azacycle;Tetrahydrofuran;Heteroaromatic compound;Oxacycle;Organic oxygen compound;Secondary alcohol;Hydrocarbon derivative;Purine;Organic nitrogen compound;Organooxygen compound
	OP(O)(=O)OP(O)(=O)OP(O)(O)=O	Organic compounds	Organic acids and derivatives	Organic phosphoric acids and derivatives	Organic phosphoric acids and derivatives	Organic phosphoric acids and derivatives	Acyclic compounds	Organic oxides	Organic oxide;Organic oxygen compound;Acyclic compound;Organic phosphoric acid derivative
	OC1=CC=CC=C1	Organic compounds	Benzenoids	Phenols	1-hydroxy-2-unsubstituted benzenoids	1-hydroxy-2-unsubstituted benzenoids	Aromatic homomonocyclic compounds	1-hydroxy-4-unsubstituted benzenoids;Benzene and substituted derivatives;Hydrocarbon derivatives;Organooxygen compounds	Aromatic homomonocyclic compound;Monocyclic benzene moiety;Organic oxygen compound;1-hydroxy-2-unsubstituted benzenoid;Hydrocarbon derivative;1-hydroxy-4-unsubstituted benzenoid;Organooxygen compound
	O[C@@H]1[C@@H](O)[C@H](O[C@@H]2[C@@H](O)[C@H](O)[C@H](O[C@H]2OC2=CC(O)=C3C(=O)C=C(OC3=C2)C2=CC(O)=C(O[C@@H]3O[C@@H]([C@@H](O)[C@H](O)[C@H]3O)C(O)=O)C=C2)C(O)=O)O[C@@H]([C@H]1O)C(O)=O	Organic compounds	Phenylpropanoids and polyketides	Flavonoids	Flavonoid glycosides	Flavonoid-7-O-glucuronides	Aromatic heteropolycyclic compounds	1-hydroxy-2-unsubstituted benzenoids;1-hydroxy-4-unsubstituted benzenoids;3'-hydroxyflavonoids;5-hydroxyflavonoids;Acetals;Beta hydroxy acids and derivatives;Carbonyl compounds;Carboxylic acids;Chromones;Flavonoid-7-O-glycosides;Flavonoids;Glucuronic acid derivatives;Heteroaromatic compounds;Hydrocarbon derivatives;Monosaccharides;O-glucuronides;Organic oxides;Oxacyclic compounds;Oxanes;Phenol ethers;Phenoxy compounds;Pyran carboxylic acids;Pyranones and derivatives;Secondary alcohols;Tricarboxylic acids and derivatives;Vinylogous acids	Phenol ether;Monocyclic benzene moiety;Carbonyl group;Carboxylic acid;Glucuronic acid or derivatives;1-benzopyran;O-glucuronide;1-hydroxy-2-unsubstituted benzenoid;Monosaccharide;Tricarboxylic acid or derivatives;Carboxylic acid derivative;Pyran carboxylic acid;1-o-glucuronide;Beta-hydroxy acid;Saccharide;Organic oxide;Acetal;Chromone;Aromatic heteropolycyclic compound;Pyranone;Oxane;Organoheterocyclic compound;Flavonoid-7-o-glycoside;Alcohol;Benzopyran;Pyran carboxylic acid or derivatives;Heteroaromatic compound;5-hydroxyflavonoid;Hydroxy acid;1-hydroxy-4-unsubstituted benzenoid;3'-hydroxyflavonoid;Oxacycle;Vinylogous acid;Organic oxygen compound;Pyran;Flavonoid-7-o-glucuronide;Secondary alcohol;Phenol;Hydrocarbon derivative;Benzenoid;Phenoxy compound;Organooxygen compound
	[H][C@](O)(CO)[C@@]([H])(O)[C@]([H])(O)C(=O)C(O)=O	Organic compounds	Organic acids and derivatives	Keto acids and derivatives	Medium-chain keto acids and derivatives	Medium-chain keto acids and derivatives	Aliphatic acyclic compounds	Acyloins;Alpha-hydroxy ketones;Alpha-keto acids and derivatives;Beta hydroxy acids and derivatives;Beta-hydroxy ketones;Carboxylic acids;Fatty Acyls;Hydrocarbon derivatives;Hydroxy fatty acids;Monocarboxylic acids and derivatives;Monosaccharides;Organic oxides;Primary alcohols;Secondary alcohols	Fatty acyl;Beta-hydroxy ketone;Aliphatic acyclic compound;Carbonyl group;Carboxylic acid;Monosaccharide;Alpha-hydroxy ketone;Carboxylic acid derivative;Ketone;Beta-hydroxy acid;Saccharide;Organic oxide;Alpha-keto acid;Hydroxy fatty acid;Primary alcohol;Alcohol;Hydroxy acid;Monocarboxylic acid or derivatives;Organic oxygen compound;Acyloin;Secondary alcohol;Hydrocarbon derivative;Organooxygen compound;Medium-chain keto acid
